Tecnologias,Agno,Potencial
carbon,2017,1000
carbon,2018,1000
carbon,2019,1000
carbon,2020,1000
carbon,2021,1000
carbon,2022,1000
carbon,2023,1000
carbon,2024,1000
carbon,2025,1000
carbon,2026,1000
carbon,2027,1000
carbon,2028,1000
carbon,2029,1000
carbon,2030,1000
carbon,2031,1000
carbon,2032,1000
carbon,2033,1000
carbon,2034,1000
carbon,2035,1000
carbon,2036,1000
carbon,2037,1000
carbon,2038,1000
carbon,2039,1000
carbon,2040,1000
carbon,2041,0
carbon,2042,0
carbon,2043,0
carbon,2044,0
carbon,2045,0
carbon,2046,0
carbon,2047,0
carbon,2048,0
carbon,2049,0
carbon,2050,0
